,title,mean rating,number of ratings
2379,Sunshine Cleaning (2008),3.38,4
2380,Kung Fu Panda: Secrets of the Furious Five (2008),2.88,4
2381,Echelon Conspiracy (2009),2.0,1
2382,Monsters vs. Aliens (2009),3.25,8
2383,"Baader Meinhof Komplex, Der (2008)",4.0,1
2384,Big Stan (2007),2.75,2
2385,Strictly Sexual (2008),5.0,1
2386,Anvil! The Story of Anvil (2008),3.75,2
2387,Observe and Report (2009),2.62,4
2388,Adventureland (2009),3.33,15
2389,Confessions of a Shopaholic (2009),3.5,4
2390,The Butterfly Effect 3: Revelations (2009),0.5,1
2391,"Fast & Furious (Fast and the Furious 4, The) (2009)",3.25,10
2392,In the Loop (2009),4.3,5
2393,Pirate Radio (2009),3.4,5
2394,17 Again (2009),3.55,10
2395,Inglourious Basterds (2009),4.14,88
2396,State of Play (2009),4.0,3
2397,"Damned United, The (2009)",4.25,2
2398,Crank: High Voltage (2009),2.94,8
2399,Moon (2009),3.97,32
2400,"Young Victoria, The (2009)",4.25,2
2401,X-Men Origins: Wolverine (2009),2.87,26
2402,Sin Nombre (2009),4.0,1
2403,Star Trek (2009),3.86,59
2404,"Great Buck Howard, The (2008)",3.5,1
2405,Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),4.0,3
2406,Earth (2007),3.5,1
2407,Stanley Kubrick: A Life in Pictures (2001),4.0,1
2408,Crossing Over (2009),2.0,1
2409,Angels & Demons (2009),3.26,17
2410,Balls Out: Gary the Tennis Coach (2009),2.0,1
2411,Powder Blue (2009),2.0,1
2412,Fanboys (2009),2.88,8
2413,Terminator Salvation (2009),3.25,18
2414,Night at the Museum: Battle of the Smithsonian (2009),3.1,10
2415,Were the World Mine (2008),3.5,1
2416,"Brothers Bloom, The (2008)",4.33,3
2417,I Do: How to Get Married and Stay Single (Prête-moi ta main) (2006),4.0,1
2418,"Soloist, The (2009)",3.5,2
2419,Drag Me to Hell (2009),3.75,6
2420,Up (2009),4.0,105
2421,Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005),2.75,2
2422,Fired Up (2009),3.58,6
2423,In the Electric Mist (2009),1.5,1
2424,"Hangover, The (2009)",3.63,76
2425,Killshot (2008),2.5,1
2426,Antichrist (2009),3.8,5
2427,Sweeney Todd (2006),4.0,1
2428,Boy Eats Girl (2005),5.0,1
2429,Special (2006),3.5,1
2430,Dead Snow (Død snø) (2009),4.25,4
2431,Land of the Lost (2009),3.21,7
2432,Imagine That (2009),4.0,1
2433,"Taking of Pelham 1 2 3, The (2009)",3.17,6
2434,"Stoning of Soraya M., The (2008)",4.5,1
2435,"Proposal, The (2009)",3.5,16
2436,Year One (2009),2.79,7
2437,Garfield's Pet Force (2009),5.0,1
2438,"Hurt Locker, The (2008)",4.06,34
2439,Breakfast with Scot (2007),3.5,1
2440,"Limits of Control, The (2009)",2.75,2
2441,Transformers: Revenge of the Fallen (2009),2.42,20
2442,Home (2009),4.5,2
2443,Whatever Works (2009),3.0,2
2444,Ghosts of Girlfriends Past (2009),2.5,3
2445,Public Enemies (2009),3.06,9
2446,Ice Age: Dawn of the Dinosaurs (2009),2.61,14
2447,Prison Break: The Final Break (2009),3.5,1
2448,Daria: Is It College Yet? (2002),1.0,1
2449,My Sister's Keeper (2009),4.0,1
2450,Hood of Horror (2006),4.5,1
2451,Watchmen: Tales of the Black Freighter (2009),3.5,1
2452,(500) Days of Summer (2009),3.67,42
2453,Brüno (Bruno) (2009),3.65,10
2454,"Librarian, The: The Curse of the Judas Chalice (2008)",3.75,2
2455,Harry Potter and the Half-Blood Prince (2009),3.89,58
2456,Eichmann (2007),5.0,1
2457,Open Water 2: Adrift (2006),2.5,1
2458,"Imaginarium of Doctor Parnassus, The (2009)",3.81,16
2459,9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),3.5,1
2460,Humpday (2009),2.5,1
2461,Polytechnique (2009),1.5,1
2462,Orphan (2009),3.0,4
2463,"Ugly Truth, The (2009)",3.67,12
2464,"Collector, The (2009)",3.5,1
2465,"Perfect Getaway, A (2009)",4.0,1
2466,District 9 (2009),3.78,65
2467,Julie & Julia (2009),2.96,12
2468,Obsessed (2009),3.5,1
2469,Race to Witch Mountain (2009),3.5,2
2470,Hannah Montana: The Movie (2009),3.5,1
2471,G.I. Joe: The Rise of Cobra (2009),2.62,8
2472,12 Rounds (2009),3.0,3
2473,Max Manus (2008),5.0,1
2474,Lost in Austen (2008),3.67,3
2475,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007),3.83,3
2476,"Deal, The (2008)",2.0,1
2477,"Goods: Live Hard, Sell Hard, The (2009)",3.62,4
2478,"Time Traveler's Wife, The (2009)",3.9,5
2479,I Can't Think Straight (2007),4.0,1
2480,Miss March (2009),2.83,3
2481,"I Love You, Beth Cooper (2009)",2.5,1
2482,Paper Heart (2009),2.75,2
2483,G-Force (2009),3.5,1
2484,Tetro (2009),4.5,1
2485,Bronson (2009),3.83,3
2486,It Might Get Loud (2008),3.75,2
2487,My Life in Ruins (2009),2.0,1
2488,Taking Woodstock (2009),3.0,3
2489,Halloween II (2009),3.0,3
2490,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",3.86,7
2491,9 (2009),3.64,14
2492,Frequently Asked Questions About Time Travel (2009),3.6,5
2493,"White Ribbon, The (Das weiße Band) (2009)",4.5,1
2494,Green Lantern: First Flight (2009),3.5,1
2495,"Most Hated Family in America, The (2007)",4.5,2
2496,Pandorum (2009),3.4,5
2497,"Men Who Stare at Goats, The (2009)",3.39,9
2498,"Hunt For Gollum, The (2009)",3.0,1
2499,Jennifer's Body (2009),1.0,2
2500,"Informant!, The (2009)",3.67,3
2501,Extract (2009),2.0,2
2502,"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009)",2.67,3
2503,Gamer (2009),3.43,7
2504,Cloudy with a Chance of Meatballs (2009),3.53,17
2505,Tyler Perry's I Can Do Bad All by Myself (2009),5.0,1
2506,"Food, Inc. (2008)",3.69,8
2507,Thirst (Bakjwi) (2009),4.0,3
2508,Bright Star (2009),3.5,1
2509,Blood Creek (a.k.a. Town Creek) (2009),3.0,1
2510,Paranormal Activity (2009),3.4,5
2511,World's Greatest Dad (2009),3.0,2
2512,Still Walking (Aruitemo aruitemo) (2008),1.0,1
2513,"Cove, The (2009)",4.25,4
2514,"Serious Man, A (2009)",3.23,11
2515,City Island (2009),4.0,1
2516,Ink (2009),3.5,1
2517,Metropia (2009),2.5,1
2518,"Haunted World of El Superbeasto, The (2009)",3.5,1
2519,Trick 'r Treat (2007),2.5,1
2520,Whip It (2009),3.1,5
2521,"Invention of Lying, The (2009)",2.33,6
2522,Surrogates (2009),3.04,14
2523,Zombieland (2009),3.88,53
2524,Assassination of a High School President (2008),1.0,1
2525,"Education, An (2009)",3.83,6
2526,Coco Before Chanel (Coco avant Chanel) (2009),4.0,1
2527,Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land) (2008),3.5,1
2528,Couples Retreat (2009),3.33,3
2529,I Sell the Dead (2008),2.5,2
2530,Where the Wild Things Are (2009),2.67,12
2531,"New York, I Love You (2009)",3.5,4
2532,Law Abiding Citizen (2009),3.06,8
2533,"Misfortunates, The (De helaasheid der dingen) (2009)",3.0,1
2534,Mary and Max (2009),4.2,10
2535,Spread (2009),3.5,1
2536,"Tournament, The (2009)",2.5,1
2537,Up in the Air (2009),3.72,32
2538,Saw VI (2009),3.5,3
2539,Love Exposure (Ai No Mukidashi) (2008),5.0,1
2540,Cirque du Freak: The Vampire's Assistant (2009),2.0,1
2541,"Boondock Saints II: All Saints Day, The (2009)",3.38,4
2542,Black Dynamite (2009),3.5,2
2543,Welcome to Dongmakgol (2005),4.5,1
2544,Gentlemen Broncos (2009),2.25,2
2545,Fantastic Mr. Fox (2009),4.08,18
2546,"Christmas Carol, A (2009)",3.0,2
2547,Battlestar Galactica: The Plan (2009),4.25,2
2548,"Private Lives of Pippa Lee, The (2009)",3.5,1
2549,Partly Cloudy (2009),4.38,4
2550,2012 (2009),2.62,21
2551,Precious (2009),3.5,3
2552,Bad Lieutenant: Port of Call New Orleans (2009),2.25,2
2553,"Twilight Saga: New Moon, The (2009)",2.67,9
2554,Derailed (2002),0.5,1
2555,"Messenger, The (2009)",3.5,1
2556,Ninja Assassin (2009),4.17,3
2557,Cell 211 (Celda 211) (2009),4.5,1
2558,Teenage Mutant Ninja Turtles: Turtles Forever (2009),3.0,1
2559,Merry Madagascar (2009),3.0,1
2560,Brothers (2009),3.5,5
2561,Garage (2007),3.5,1
2562,"Blind Side, The  (2009)",3.68,31
2563,Shrink (2009),2.0,1
2564,Old Dogs (2009),0.5,1
2565,Planet 51 (2009),3.0,3
2566,Earthlings (2006),4.0,1
2567,"Single Man, A (2009)",3.83,3
2568,"Lovely Bones, The (2009)",3.17,3
2569,Invictus (2009),3.86,7
2570,"Princess and the Frog, The (2009)",3.75,12
2571,Did You Hear About the Morgans? (2009),3.0,1
2572,Alice (2009),4.0,1
2573,Avatar (2009),3.6,97
2574,It's Complicated (2009),2.75,4
2575,Sherlock Holmes (2009),3.85,58
2576,Crazy Heart (2009),4.1,5
2577,Alvin and the Chipmunks: The Squeakquel (2009),2.67,3
2578,American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),2.17,3
2579,Pontypool (2008),3.75,2
2580,Youth in Revolt (2009),3.0,5
2581,Daybreakers (2010),3.42,6
2582,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),3.5,2
2583,Leap Year (2010),2.4,5
2584,"Book of Eli, The (2010)",3.28,16
2585,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",4.2,5
2586,"Prophet, A (Un Prophète) (2009)",4.25,4
2587,Staten Island (2009),1.5,1
2588,"Maiden Heist, The (2009)",2.5,1
2589,Blood: The Last Vampire (2009),2.0,1
2590,Bart Got a Room (2008),3.5,1
2591,Robin-B-Hood (Bo bui gai wak) (2006),3.0,1
2592,"Concert, Le (2009)",3.0,1
2593,Ninja (2009),3.0,1
2594,Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),4.0,1
2595,"Chaser, The (Chugyeogja) (2008)",3.0,1
2596,"Dennis the Menace Christmas, A (2007)",1.5,1
2597,Undisputed II: Last Man Standing (2006),4.0,1
2598,3 Idiots (2009),4.75,2
2599,Legion (2010),2.83,3
2600,Stan Helsing (2009),1.0,2
2601,When in Rome (2010),2.5,4
2602,Triangle (2009),4.0,2
2603,I Love You Phillip Morris (2009),1.5,2
2604,Temple Grandin (2010),4.38,4
2605,"House of the Devil, The (2009)",4.0,1
2606,Valentine's Day (2010),2.67,3
2607,"Wolfman, The (2010)",2.25,2
2608,Shutter Island (2010),4.02,67
2609,Persuasion (2007),3.33,3
2610,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)",4.25,4
2611,Percy Jackson & the Olympians: The Lightning Thief (2010),2.36,7
2612,Cop Out (2010),2.5,5
2613,"Ghost Writer, The (2010)",3.79,7
2614,"Secret of Kells, The (2009)",4.0,2
2615,"Spy Next Door, The (2010)",2.0,1
2616,Agora (2009),4.0,1
2617,Motherhood (2009),1.0,1
2618,District 13: Ultimatum (Banlieue 13 - Ultimatum) (2009),3.75,2
2619,"Yes Men Fix the World, The (2009)",4.0,1
2620,Mike Bassett: England Manager (2001),4.0,1
2621,"Crazies, The (2010)",3.38,4
2622,Dear John (2010),3.5,1
2623,Last Train Home (2009),3.0,1
2624,Tooth Fairy (2010),2.17,3
2625,[REC]² (2009),3.67,3
2626,"Room, The (2003)",3.67,3
2627,Alice in Wonderland (2010),2.88,28
2628,"Town Called Panic, A (Panique au village) (2009)",3.75,2
2629,Green Zone (2010),3.5,9
2630,From Paris with Love (2010),2.5,2
2631,Dorian Gray (2009),3.0,5
2632,Greenberg (2010),2.33,3
2633,She's Out of My League (2010),3.22,9
2634,Harry Brown (2009),4.0,2
2635,Remember Me (2010),4.0,1
2636,"Burrowers, The (2008)",3.0,1
2637,Frozen (2010),3.25,2
2638,Little Ashes (2008),2.5,1
2639,Our Family Wedding (2010),1.5,1
2640,"Bounty Hunter, The (2010)",2.75,6
2641,Leaves of Grass (2009),3.17,3
2642,Women in Trouble (2009),2.0,1
2643,Repo Men (2010),3.5,6
2644,Case 39 (2009),0.5,1
2645,Oceans (Océans) (2009),4.0,1
2646,"Slammin' Salmon, The (2009)",3.5,2
2647,Hot Tub Time Machine (2010),3.3,15
2648,Mother (Madeo) (2009),5.0,1
2649,How to Train Your Dragon (2010),3.94,53
2650,"Bone Man, The (Der Knochenmann) (2009)",4.5,1
2651,Micmacs (Micmacs à tire-larigot) (2009),3.75,2
2652,Clash of the Titans (2010),2.31,13
2653,Kick-Ass (2010),3.65,43
2654,Date Night (2010),3.32,11
2655,"Emperor's New Groove 2: Kronk's New Groove, The (2005)",4.5,1
2656,Steam of Life (Miesten vuoro) (2010),3.5,1
2657,Mortadelo & Filemon: The Big Adventure (La gran aventura de Mortadelo y Filemón) (2003),3.5,1
2658,American Drug War: The Last White Hope (2007),3.0,1
2659,"Runaways, The (2010)",3.5,1
2660,Wild China (2008),4.0,1
2661,Death at a Funeral (2010),3.25,2
2662,Valhalla Rising (2009),2.5,1
2663,Diary of a Wimpy Kid (2010),3.5,1
2664,"Union: The Business Behind Getting High, The (2007)",3.5,1
2665,Disgrace (2008),3.5,1
2666,"Losers, The (2010)",3.0,3
2667,"Last Song, The (2010)",3.5,1
2668,Cyrus (2010),2.5,1
2669,"Human Centipede, The (First Sequence) (2009)",0.5,1
2670,Exit Through the Gift Shop (2010),4.04,13
2671,Iron Man 2 (2010),3.51,47
2672,MacGruber (2010),3.0,1
2673,"Sky Crawlers, The (Sukai kurora) (2008)",2.5,1
2674,Cargo (2009),3.5,1
2675,"Nightmare on Elm Street, A (2010)",1.25,2
2676,Four Lions (2010),4.0,5
2677,St Trinian's 2: The Legend of Fritton's Gold (2009),2.0,1
2678,Robin Hood (2010),3.17,6
2679,Lovers & Leavers (Kuutamolla) (2002),3.5,1
2680,Merantau (2009),4.0,1
2681,Stingray Sam (2009),4.0,1
2682,Cemetery Junction (2010),3.5,1
2683,Blue Valentine (2010),2.8,5
2684,Killers (2010),2.25,2
2685,Buried (2010),3.5,4
2686,Shake Hands with the Devil (2007),2.5,1
2687,Prince of Persia: The Sands of Time (2010),2.88,13
2688,Please Give (2010),3.5,1
2689,Baarìa (2009),4.5,1
2690,Ricky Gervais Live: Animals (2003),3.5,1
2691,Sex and the City 2 (2010),1.0,2
2692,Get Him to the Greek (2010),3.55,10
2693,Unthinkable (2010),3.0,1
2694,"Back-up Plan, The (2010)",3.0,1
2695,Splice (2009),3.5,3
2696,Letters to Juliet (2010),2.83,3
2697,Exam (2009),3.8,5
2698,Jonah Hex (2010),1.88,4
2699,"A-Team, The (2010)",3.15,17
2700,Toy Story 3 (2010),4.11,55
2701,Ricky Gervais Live 3: Fame (2007),3.0,1
2702,Winter's Bone (2010),3.44,8
2703,Barking Dogs Never Bite (Flandersui gae) (2000),3.5,1
2704,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010),3.57,7
2705,TiMER (2009),3.75,2
2706,Best Worst Movie (2009),4.0,1
2707,"Twilight Saga: Eclipse, The (2010)",2.45,10
2708,Enter the Void (2009),5.0,2
2709,"Last Airbender, The (2010)",1.92,6
2710,Endgame (2009),3.0,1
2711,Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004),4.5,1
2712,South Park: Imaginationland (2008),4.0,8
2713,Predators (2010),3.3,10
2714,When You're Strange (2009),4.0,1
2715,Despicable Me (2010),3.68,38
2716,Inception (2010),4.07,143
2717,Grown Ups (2010),3.45,10
2718,"Sorcerer's Apprentice, The (2010)",3.45,10
2719,Knight and Day (2010),3.42,6
2720,"Karate Kid, The (2010)",2.5,8
2721,"Kids Are All Right, The (2010)",2.92,6
2722,"Serbian Film, A (Srpski film) (2010)",2.25,2
2723,Cherrybomb (2009),2.5,1
2724,Batman: Under the Red Hood (2010),3.67,3
2725,Salt (2010),2.97,15
2726,"No. 1 Ladies' Detective Agency, The (2008)",3.0,1
2727,Mr. Nobody (2009),4.14,7
2728,Dinner for Schmucks (2010),3.29,7
2729,Deadly Outlaw: Rekka (a.k.a. Violent Fire) (Jitsuroku Andô Noboru kyôdô-den: Rekka) (2002),4.0,1
2730,Hellsinki (Rööperi) (2009),3.0,1
2731,Ip Man 2 (2010),3.0,5
2732,Ramona and Beezus (2010),2.5,1
2733,"Rebound, The (2009)",2.5,1
2734,"Other Guys, The (2010)",3.26,21
2735,"Two Escobars, The (2010)",3.5,1
2736,Paper Man (2009),4.0,1
2737,"Expendables, The (2010)",3.06,17
2738,Scott Pilgrim vs. the World (2010),3.7,44
2739,I Killed My Mother (J'ai tué ma mère) (2009),3.5,2
2740,Heartless (2009),2.5,1
2741,Piranha (Piranha 3D) (2010),2.17,3
2742,"Extraordinary Adventures of Adèle Blanc-Sec, The (2010)",2.5,1
2743,Get Low (2009),5.0,1
2744,"Joneses, The (2009)",3.5,1
2745,"Last Exorcism, The (2010)",4.0,1
2746,Sisters (Syostry) (2001),5.0,1
2747,"American, The (2010)",2.62,4
2748,Jackass 2.5 (2007),4.17,3
2749,"Horde, The (La Horde) (2009)",2.5,1
2750,"Switch, The (2010)",2.67,6
2751,Machete (2010),3.25,12
2752,Going the Distance (2010),3.17,3
2753,Resident Evil: Afterlife (2010),3.14,7
2754,Princess (Prinsessa) (2010),2.5,1
2755,"Social Network, The (2010)",3.89,57
2756,"Town, The (2010)",3.95,22
2757,Easy A (2010),3.8,27
2758,Eat Pray Love (2010),3.5,2
2759,Howl (2010),3.5,1
2760,I'm Still Here (2010),4.0,1
2761,"Patrik Age 1.5 (Patrik 1,5) (2008)",4.0,1
2762,Flipped (2010),3.83,3
2763,Wall Street: Money Never Sleeps (2010),3.17,3
2764,Legend of the Guardians: The Owls of Ga'Hoole (2010),4.0,2
2765,It's Kind of a Funny Story (2010),3.19,8
2766,Middle Men (2009),3.25,2
2767,Let Me In (2010),3.86,7
2768,Sintel (2010),3.5,1
2769,Secretariat (2010),2.5,1
2770,Devil (2010),3.25,2
2771,You Again (2010),3.5,1
2772,Life as We Know It (2010),3.0,6
2773,Catfish (2010),3.67,3
2774,You Will Meet a Tall Dark Stranger (2010),3.5,1
2775,Stone (2010),3.25,2
2776,Inside Job (2010),4.29,12
2777,Monsters (2010),3.5,1
2778,Never Let Me Go (2010),4.0,3
2779,"Illusionist, The (L'illusionniste) (2010)",3.0,3
2780,Luck by Chance (2009),4.5,1
2781,Rubber (2010),3.75,2
2782,Jackass 3D (2010),3.92,6
2783,Restrepo (2010),3.17,3
2784,Waiting for 'Superman' (2010),4.0,1
2785,Red (2010),3.5,20
2786,In a Better World (Hævnen) (2010),3.5,1
2787,Heartbreaker (L'Arnacoeur) (2010),2.5,1
2788,Paranormal Activity 2 (2010),3.7,5
2789,Heartbeats (Les amours imaginaires) (2010),3.0,2
2790,Hereafter (2010),4.0,1
2791,Undisputed III: Redemption (2010),4.0,1
2792,Saw VII 3D - The Final Chapter (2010),4.5,1
2793,Due Date (2010),3.1,10
2794,127 Hours (2010),3.83,18
2795,Megamind (2010),3.6,20
2796,Black Swan (2010),3.63,42
2797,Unstoppable (2010),3.36,7
2798,Morning Glory (2010),2.67,6
2799,Certified Copy (Copie conforme) (2010),4.0,1
2800,"Next Three Days, The (2010)",3.86,7
2801,Somewhere (2010),3.0,1
2802,Biutiful (2010),4.25,2
2803,"First Beautiful Thing, The (La prima cosa bella) (2010)",4.0,1
2804,Harry Potter and the Deathly Hallows: Part 1 (2010),3.99,47
2805,"King's Speech, The (2010)",4.04,58
2806,Tangled (2010),3.92,24
2807,"Art of the Steal, The (2009)",4.0,2
2808,"Fighter, The (2010)",3.76,23
2809,"Romantics, The (2010)",3.0,1
2810,"Loved Ones, The (2009)",4.25,2
2811,Casino Jack (2010),4.0,2
2812,Vincent Wants to Sea (Vincent will meer) (2010),3.0,1
2813,London Boulevard (2010),1.5,1
2814,Skyline (2010),0.5,1
2815,Beastly (2011),3.5,1
2816,Love and Other Drugs (2010),2.79,7
2817,"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",3.86,7
2818,"Tourist, The (2010)",2.71,7
2819,Rare Exports: A Christmas Tale (Rare Exports) (2010),4.25,2
2820,Hatchet II (2010),4.5,1
2821,All Good Things (2010),3.75,2
2822,True Grit (2010),3.75,28
2823,Tron: Legacy (2010),3.24,19
2824,How Do You Know (2010),2.67,3
2825,Barney's Version (2010),4.0,1
2826,"Company Men, The (2010)",2.5,1
2827,I Saw the Devil (Akmareul boatda) (2010),3.88,4
2828,Trash Humpers (2009),0.5,1
2829,Faster (2010),5.0,1
2830,Little Big Soldier (Da bing xiao jiang) (2010),3.5,1
2831,Rabbit Hole (2010),3.5,1
2832,Little Fockers (2010),1.83,6
2833,Gulliver's Travels (2010),1.83,6
2834,Sweetgrass (2009),4.5,1
2835,Burlesque (2010),2.5,1
2836,"Secret World of Arrietty, The (Kari-gurashi no Arietti) (2010)",3.5,4
2837,Tucker & Dale vs Evil (2010),3.92,18
2838,Yogi Bear (2010),1.17,3
2839,Made in Dagenham (2010),2.0,1
2840,"Green Hornet, The (2011)",3.0,11
2841,"Way Back, The (2010)",4.0,1
2842,"Warrior's Way, The (2010)",3.5,1
2843,Season of the Witch (2011),3.5,1
2844,Amer (2009),0.5,1
2845,Cowboys & Aliens (2011),3.0,9
2846,Anything for Her (Pour elle) (2008),2.5,1
2847,Day & Night (2010),4.1,5
2848,Marwencol (2010),4.25,2
2849,"Dilemma, The (2011)",2.5,2
2850,"Trip, The (2010)",4.0,1
2851,Limitless (2011),3.95,30
2852,Happy People: A Year in the Taiga (2010),4.5,1
2853,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009),3.5,3
2854,I Spit on Your Grave (2010),3.75,2
2855,Even the Rain (También la lluvia) (2010),4.0,1
2856,Zeitgeist: Moving Forward (2011),5.0,1
2857,No Strings Attached (2011),2.93,14
2858,"Lincoln Lawyer, The (2011)",3.6,10
2859,All-Star Superman (2011),4.25,2
2860,Unknown (2011),3.33,6
2861,Cedar Rapids (2011),2.25,2
2862,Gnomeo & Juliet (2011),3.0,1
2863,Burke and Hare (2010),4.0,1
2864,Castaway on the Moon (Kimssi pyoryugi) (2009),4.0,1
2865,Paul (2011),3.2,15
2866,Brother 2 (Brat 2) (2000),4.5,1
2867,Emma (2009),2.5,2
2868,Drive Angry (2011),3.75,2
2869,Rango (2011),3.62,17
2870,Take Me Home Tonight (2011),2.5,1
2871,Confessions (Kokuhaku) (2010),4.0,1
2872,"Adjustment Bureau, The (2011)",3.17,21
2873,"Mechanic, The (2011)",3.38,4
2874,Hall Pass (2011),3.12,4
2875,"Eagle, The (2011)",2.0,1
2876,I Am Number Four (2011),3.1,5
2877,Battle: Los Angeles (2011),2.38,4
2878,Summer Wars (Samâ wôzu) (2009),3.83,3
2879,"Sunset Limited, The (2011)",4.0,1
2880,Mars Needs Moms (2011),3.5,1
2881,Scooby-Doo! Curse of the Lake Monster (2010),5.0,1
2882,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),4.36,7
2883,Mesrine: Public Enemy #1 (L'ennemi public n°1) (2008),3.5,3
2884,Just Go with It (2011),3.21,7
2885,Cave of Forgotten Dreams (2010),3.0,1
2886,Red Riding Hood (2011),3.5,2
2887,"Big Mommas: Like Father, Like Son (2011)",1.0,1
2888,Super (2010),2.9,5
2889,"Troll Hunter, The (Trolljegeren) (2010)",3.75,2
2890,Source Code (2011),3.6,34
2891,Jane Eyre (2011),3.0,1
2892,Sucker Punch (2011),3.12,12
2893,BURN-E (2008),4.5,3
2894,Senna (2010),3.75,6
2895,Family Guy Presents: It's a Trap (2010),3.58,6
2896,Insidious (2010),2.67,3
2897,Hobo with a Shotgun (2011),2.38,4
2898,Win Win (2011),3.75,6
2899,Room in Rome (Habitación en Roma) (2010),2.75,2
2900,Boy (2010),4.0,1
2901,Diary of a Wimpy Kid: Rodrick Rules (2011),3.5,1
2902,Henry's Crime (2010),2.0,1
2903,Hop (2011),2.75,2
2904,Playing the Victim (Izobrazhaya zhertvu) (2006),4.0,1
2905,Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) (2005),0.5,1
2906,13 Assassins (Jûsan-nin no shikaku) (2010),4.0,4
2907,Hanna (2011),3.32,11
2908,Into Eternity (2010),3.5,1
2909,American: The Bill Hicks Story (2009),4.0,3
2910,Arthur (2011),3.0,6
2911,Scream 4 (2011),2.67,3
2912,Rio (2011),3.12,8
2913,Melancholia (2011),3.07,7
2914,Thor (2011),3.51,34
2915,Louis C.K.: Hilarious (2010),4.06,9
2916,Louis C.K.: Chewed Up (2008),3.29,7
2917,Atlas Shrugged: Part 1 (2011),2.0,1
2918,Louis C.K.: Shameless (2007),4.0,7
2919,Mildred Pierce (2011),4.5,1
2920,Voices from the List (2004),4.3,5
2921,Water for Elephants (2011),3.38,4
2922,African Cats (2011),2.5,1
2923,Kill the Irishman (2011),4.0,2
2924,"Fast Five (Fast and the Furious 5, The) (2011)",3.05,10
2925,Louis Theroux: Law & Disorder (2008),5.0,1
2926,Idiots and Angels (2008),5.0,1
2927,Incendies (2010),4.4,5
2928,Soul Surfer (2011),3.5,1
2929,Something Borrowed (2011),3.25,2
2930,Bridesmaids (2011),3.76,21
2931,Priest (2011),3.0,3
2932,Pirates of the Caribbean: On Stranger Tides (2011),3.23,24
2933,Midnight in Paris (2011),3.56,25
2934,The Man from Nowhere (2010),4.5,3
2935,"Tree of Life, The (2011)",4.0,2
2936,"Hangover Part II, The (2011)",3.27,15
2937,Nothing to Declare (Rien à déclarer) (2010),4.0,1
2938,Across the Hall (2009),2.0,1
2939,"Roommate, The (2011)",2.0,1
2940,Attack the Block (2011),3.5,6
2941,The Way (2010),3.5,2
2942,Let the Bullets Fly (2010),3.0,1
2943,Kung Fu Panda 2 (2011),3.32,17
2944,X-Men: First Class (2011),3.79,43
2945,Submarine (2010),4.17,3
2946,American Grindhouse (2010),4.0,1
2947,Everything Must Go (2010),2.67,3
2948,Beginners (2010),3.62,4
2949,Super 8 (2011),3.6,21
2950,Green Lantern (2011),2.35,10
2951,Elektra Luxx (2010),2.5,2
2952,Mr. Popper's Penguins (2011),2.7,5
2953,Bad Teacher (2011),2.89,9
2954,Transformers: Dark of the Moon (2011),2.36,11
2955,Larry Crowne (2011),2.75,2
2956,Your Highness (2011),3.11,9
2957,Too Big to Fail (2011),4.5,1
2958,Takers (2010),2.75,2
2959,My Life as McDull (Mak dau goo si) (2001),5.0,1
2960,Zookeeper (2011),2.75,4
2961,Horrible Bosses (2011),3.44,24
2962,Cars 2 (2011),3.17,3
2963,Between the Folds (2008),3.0,1
2964,Delhi Belly (2011),4.0,1
2965,Upside Down: The Creation Records Story (2010),3.0,1
2966,Monte Carlo (2011),3.0,1
2967,Harry Potter and the Deathly Hallows: Part 2 (2011),3.91,50
2968,Drive (2011),3.77,32
2969,Captain America: The First Avenger (2011),3.55,32
2970,"Crazy, Stupid, Love. (2011)",3.98,31
2971,One Day (2011),3.5,1
2972,"Guard, The (2011)",3.62,4
2973,Winnie the Pooh (2011),3.0,1
2974,"Woman, The (2011)",3.5,2
2975,Mike's New Car (2002),4.0,1
2976,"Smurfs, The (2011)",1.88,4
2977,Friends with Benefits (2011),3.05,20
2978,Paper Birds (Pájaros de papel) (2010),5.0,1
2979,Blitz (2011),3.0,1
2980,"Yellow Sea, The (a.k.a. The Murderer) (Hwanghae) (2010)",2.5,1
